URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2024/2024_w23.seq/356.smp/ISQEC.xraw
545.5	439679.750000
546.5	106767.203125
547.4	35484.292969
548.0	6498.685547
549.4	17654.423828
550.3	6669.268066
550.9	3902.778564
551.7	1054.256958
552.2	1897.196167
553.2	10546.628906
554.0	699.919006
555.2	6836.227539
555.9	2478.959473
556.7	5041.102539
557.5	9384.304688
558.2	981.038818
559.2	1887.098267
560.9	23298.976563
561.5	23792.492188
562.4	7488.774414
563.6	4818.280273
564.3	19294.300781
565.2	23698.101563
566.2	2004.765625
567.1	8841.507813
567.7	7913.885254
569.1	12587.732422
570.1	9818.834961
570.7	10.880469
571.2	2605.031250
572.4	4247.038086
573.4	1568.765137
574.4	2058.317383
575.2	2983.903809
576.1	2040.362183
577.4	997.809021
578.5	155.886185
579.4	6110.181152
580.3	4046.811279
581.3	6635.372070
582.3	7015.914063
583.2	15583.925781
583.8	871.293274
584.6	5382.833008
585.4	5911.536621
586.2	1955.545288
586.8	751.578064
587.6	736.425110
588.3	2075.957031
589.2	3297.533203
589.7	571.303711
590.3	1992.107544
591.4	6790.978027
592.3	2319.751465
593.1	5166.272461
593.9	2680.748535
594.9	3306.036621
595.4	4707.166504
596.1	2984.950684
597.4	7327.029297
598.6	2233.751709
599.5	1715.996094
600.8	2088.492432
601.9	2439.519287
603.2	5157.672363
604.1	22689.373047
605.1	8869.209961
605.7	7025.149902
606.9	10259.616211
608.0	5565.351074
609.2	5988.238770
610.1	7896.518066
611.4	5693.765137
612.1	69.511497
613.1	0.341942
614.4	2311.241455
615.3	3481.995850
616.1	4236.793945
617.2	2240.889648
617.8	6548.150391
618.6	3491.770752
619.1	0.213535
619.8	248.789001
621.1	4373.622070
621.9	4342.315430
623.3	14357.303711
624.7	6267.675293
625.6	9382.498047
626.3	5264.582520
627.6	2767.876709
628.3	4387.901367
629.5	2456.464600
630.3	5.892820
631.4	2341.528564
632.2	2212.593018
633.5	10178.344727
634.3	448.010010
635.6	5548.833496
636.4	1822.597656
637.4	7392.938477
638.2	280.153809
